variant,config,metric,n,mean_delta,p_wilcoxon,sig_label
600_llm,50pct_cautious,trans_infected_to_vaccinated,9,-5.713671293309878,0.02734375,p<0.05
600_llm,50pct_cautious,trans_vaccinated_to_infected,9,-0.06901311249137336,0.25,ns
600_llm,50pct_credulous,pct_infected_susc,9,4.088893745945981,0.07421875,p<0.10
600_llm,50pct_credulous,pct_vaccinated_susc,9,-13.575227483939946,0.00390625,p<0.01
600_llm,50pct_credulous,vax_effectiveness_susc,9,-11.41056082053649,0.00390625,p<0.01
600_llm,50pct_credulous,trans_neutral_to_infected,9,12.997084797683849,0.00390625,p<0.01
600_llm,50pct_credulous,trans_neutral_to_vaccinated,9,-16.588476480087927,0.00390625,p<0.01
600_llm,50pct_credulous,trans_infected_to_vaccinated,9,3.660404794895457,0.02734375,p<0.05
600_llm,50pct_credulous,trans_vaccinated_to_infected,9,-0.06901311249137336,0.25,ns
600_llm,75pct_cautious,pct_infected_susc,9,-13.149126619242587,0.00390625,p<0.01
600_llm,75pct_cautious,pct_vaccinated_susc,9,12.419466745960948,0.00390625,p<0.01
600_llm,75pct_cautious,vax_effectiveness_susc,9,15.615575394495838,0.00390625,p<0.01
600_llm,75pct_cautious,trans_neutral_to_infected,9,-19.54742422186119,0.00390625,p<0.01
600_llm,75pct_cautious,trans_neutral_to_vaccinated,9,26.223722242708526,0.00390625,p<0.01
600_llm,75pct_cautious,trans_infected_to_vaccinated,9,-6.607284908355972,0.00390625,p<0.01
600_llm,75pct_cautious,trans_vaccinated_to_infected,9,-0.06901311249137336,0.25,ns
600_llm,75pct_credulous,pct_infected_susc,9,30.801324056354286,0.00390625,p<0.01
600_llm,75pct_credulous,pct_vaccinated_susc,9,-35.302749969713986,0.00390625,p<0.01
600_llm,75pct_credulous,vax_effectiveness_susc,9,-39.04211796837994,0.00390625,p<0.01
600_llm,75pct_credulous,trans_neutral_to_infected,9,31.422922635267824,0.00390625,p<0.01
600_llm,75pct_credulous,trans_neutral_to_vaccinated,9,-30.835667481398147,0.00390625,p<0.01
600_llm,75pct_credulous,trans_infected_to_vaccinated,9,-0.6603580052849255,0.359375,ns
600_llm,75pct_credulous,trans_vaccinated_to_infected,9,0.07310285141525169,0.625,ns
