[agent7] LR=9 LD=0 HR=0 HD=8
[agent5] LR=7 LD=0 HR=3 HD=9
[agent6] LR=8 LD=1 HR=0 HD=7
[agent0] LR=10 LD=0 HR=0 HD=7
[agent9] LR=8 LD=1 HR=0 HD=6
[agent4] LR=10 LD=0 HR=0 HD=9
[agent8] LR=10 LD=0 HR=0 HD=9
[agent2] LR=10 LD=0 HR=0 HD=9
[agent3] LR=7 LD=0 HR=3 HD=7
[agent10] LR=3 LD=3 HR=4 HD=4
[agent1] LR=8 LD=2 HR=0 HD=7
[agent7] LR=10 LD=0 HR=0 HD=10
[agent9] LR=8 LD=1 HR=0 HD=6
[agent0] LR=10 LD=0 HR=0 HD=7
[agent6] LR=8 LD=1 HR=0 HD=7
[agent8] LR=10 LD=0 HR=0 HD=10
[agent5] LR=7 LD=0 HR=3 HD=9
[agent4] LR=10 LD=0 HR=0 HD=10
[agent1] LR=8 LD=2 HR=0 HD=7
[agent10] LR=3 LD=3 HR=6 HD=5
[agent2] LR=10 LD=0 HR=0 HD=10
[agent3] LR=7 LD=0 HR=3 HD=7
